Date,Beta,P/S,P/B,P/E,EPS,ROE,ROA,ROC
13/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
14/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
15/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
16/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
17/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
18/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
19/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
20/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
21/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
22/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
23/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
24/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
25/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
26/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
27/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
28/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
29/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
30/6/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
1/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
2/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
3/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
4/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
5/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
6/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
7/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
8/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
9/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
10/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
11/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
12/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
13/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
14/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
15/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
16/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
17/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
18/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
19/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
20/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
21/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
22/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
23/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
24/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
25/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
26/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
27/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
28/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
29/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
30/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
31/7/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
1/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
2/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
3/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
4/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
5/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
6/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
7/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
8/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
9/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
10/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
11/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
12/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
13/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
14/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
15/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
16/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
17/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
18/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
19/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
20/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
21/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
22/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
23/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
24/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
25/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
26/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
27/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
28/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
29/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
30/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
31/8/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
1/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
2/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
3/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
4/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
5/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
6/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
7/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
8/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
9/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
10/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
11/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
12/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
13/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
14/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
15/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
16/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
17/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
18/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
19/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
20/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
21/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
22/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
23/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
24/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
25/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
26/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
27/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
28/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
29/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
30/9/2024,0.8,12.5,5.81,23.23,5618.00,5.81,2.94,8.4
1/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
2/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
3/10/2024,0.81,12.35,5.55,23.8,5652.00,6.13,3.14,8.61
