Metric,StockID,2022,2023,2024,2025,M10_2023,M10_2024,M11_2023,M11_2024,M12_2023,M12_2024,M1_2024,M1_2025,M2_2024,M2_2025,M3_2023,M3_2024,M3_2025,M4_2023,M4_2024,M5_2023,M5_2024,M6_2023,M6_2024,M7_2023,M7_2024,M8_2023,M8_2024,M9_2023,M9_2024,Q1_2023,Q1_2024,Q1_2025,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
Tổng GT khớp,FPT,"40,127,592","32,903,598","129,164,565","26,888,006","5,411,519","9,384,944","4,255,216","13,050,959","4,154,163","12,658,417","3,147,106","8,534,914","5,008,978","13,399,266","1,195,077","7,784,914","4,953,826","883,407","6,978,395","1,351,987","11,581,548","1,645,410","20,390,648","2,164,749","17,425,878","3,961,773","12,332,109","5,289,450","9,420,669","3,785,924","15,940,998","26,888,006","3,880,804","38,950,591","11,415,972","39,178,656","13,820,898","35,094,320"
Tổng KL khớp,FPT,"433,450,400","370,659,600","1,000,508,500","186,016,800","58,518,600","68,748,900","46,990,600","96,216,400","43,649,700","85,416,000","32,827,500","57,077,300","48,078,100","93,419,200","15,125,900","68,853,100","35,520,300","11,100,100","60,367,000","16,543,100","87,243,800","19,334,200","152,347,900","27,230,100","132,559,000","45,397,500","96,911,000","54,966,700","70,939,800","46,929,000","149,758,700","186,016,800","46,977,400","299,958,700","127,594,300","300,409,800","149,158,900","250,381,300"
Tổng KL đặt bán,FPT,"777,756,500","709,579,200","1,577,738,200","294,590,800","107,180,800","120,487,000","98,432,100","170,419,800","90,358,800","142,458,200","67,408,700","86,906,100","71,546,400","148,910,100","29,082,600","121,896,600","58,774,600","22,548,500","102,734,100","33,994,100","150,777,000","41,383,200","211,010,300","49,137,000","161,618,900","78,526,200","135,081,700","99,121,200","122,299,500","88,897,300","260,851,700","294,590,800","97,925,800","464,521,400","226,784,400","419,000,100","295,971,700","433,365,000"
Tổng KL đặt mua,FPT,"718,646,200","709,645,600","1,570,432,300","314,773,800","107,632,100","117,352,300","93,097,900","160,185,700","79,352,200","142,597,200","62,587,800","88,070,200","67,035,400","161,785,900","35,898,200","126,321,700","64,917,700","25,723,000","121,793,000","39,736,600","154,735,700","37,411,700","215,201,000","44,333,500","173,092,300","88,139,200","119,291,500","97,965,500","110,238,700","96,253,900","255,944,900","314,773,800","102,871,300","491,729,700","230,438,200","402,622,500","280,082,200","420,135,200"
Tổng số phiên,FPT,249,249,250,45,22,23,22,21,21,22,22,17,16,20,23,21,8,20,19,20,22,22,20,21,23,23,22,19,19,59,59,45,62,61,63,64,65,66
